Simulação,Status,Timeslot Total,EPRs Criados,Pares Eprs Consumidos,Fidelidade Média dos Eprs,Erro
1,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
2,Falha,0,4,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
3,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
4,Falha,0,4,4,"{""media"": 0.7352941176470588}",Erro de probabilidade de sucesso.
5,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
6,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
7,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
8,Falha,1,4,6,"{""media"": 0.7352941176470588}",Erro de probabilidade de sucesso.
9,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
10,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
11,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
12,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
13,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
14,Falha,0,4,4,"{""media"": 0.7352941176470588}",Erro de probabilidade de sucesso.
15,Falha,1,4,6,"{""media"": 0.7352941176470588}",Erro de probabilidade de sucesso.
16,Falha,0,4,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
17,Falha,2,4,6,"{""media"": 0.7479196556671447}",Nenhum
18,Falha,1,4,6,"{""media"": 0.7352941176470588}",Erro de probabilidade de sucesso.
19,Falha,0,4,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
20,Falha,0,4,4,"{""media"": 0.7352941176470588}",Erro de probabilidade de sucesso.
