Simulação,Status,Timeslot Total,EPRs Criados,Pares Eprs Consumidos,Fidelidade Média dos Eprs
1,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
2,Falha,2,0,6,"{""media"": 0.7280109890109889}"
4,Falha,1,0,4,"{""media"": 0.6923076923076923}"
6,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
8,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
9,Falha,1,0,4,"{""media"": 0.6923076923076923}"
10,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
12,Falha,2,0,6,"{""media"": 0.7280109890109889}"
13,Falha,3,0,6,"{""media"": 0.7604887729072174}"
14,Falha,3,0,6,"{""media"": 0.7604887729072174}"
17,Falha,2,0,6,"{""media"": 0.7280109890109889}"
18,Falha,1,0,4,"{""media"": 0.6923076923076923}"
19,Falha,2,0,6,"{""media"": 0.7280109890109889}"
20,Falha,3,0,6,"{""media"": 0.7604887729072174}"
21,Falha,1,0,4,"{""media"": 0.6923076923076923}"
22,Falha,1,0,4,"{""media"": 0.6923076923076923}"
23,Falha,3,0,6,"{""media"": 0.7604887729072174}"
25,Falha,1,0,4,"{""media"": 0.6923076923076923}"
26,Falha,2,0,6,"{""media"": 0.7280109890109889}"
27,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
28,Falha,2,0,6,"{""media"": 0.7280109890109889}"
29,Falha,1,0,4,"{""media"": 0.6923076923076923}"
30,Falha,1,0,4,"{""media"": 0.6923076923076923}"
31,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
33,Falha,1,0,4,"{""media"": 0.6923076923076923}"
34,Falha,1,0,4,"{""media"": 0.6923076923076923}"
36,Falha,3,0,6,"{""media"": 0.7604887729072174}"
37,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
39,Falha,1,0,4,"{""media"": 0.6923076923076923}"
41,Falha,2,0,6,"{""media"": 0.7280109890109889}"
42,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
43,Falha,3,0,6,"{""media"": 0.7604887729072174}"
44,Falha,1,0,4,"{""media"": 0.6923076923076923}"
45,Falha,3,0,6,"{""media"": 0.7604887729072174}"
46,Falha,3,0,6,"{""media"": 0.7604887729072174}"
47,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
48,Falha,3,0,6,"{""media"": 0.7604887729072174}"
49,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
50,Falha,3,0,6,"{""media"": 0.7604887729072174}"
51,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
53,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
54,Falha,1,0,4,"{""media"": 0.6923076923076923}"
56,Falha,2,0,6,"{""media"": 0.7280109890109889}"
57,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
58,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
59,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
60,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
62,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
64,Falha,1,0,4,"{""media"": 0.6923076923076923}"
65,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
66,Falha,1,0,4,"{""media"": 0.6923076923076923}"
68,Falha,1,0,4,"{""media"": 0.6923076923076923}"
69,Falha,2,0,6,"{""media"": 0.7280109890109889}"
70,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
71,Falha,1,0,4,"{""media"": 0.6923076923076923}"
73,Falha,0,0,2,"{""symmetric"": 0.0, ""pumping"": 0.0}"
